priority_rank,project_code,project_name,agency,state,physical_progress,expenditure_percent,cost_overrun_percent,time_overrun_percent,risk_score,risk_category,warnings,risk_explanation
1,618549,Construction of twin tube tunnels on Jammu Kashmir Ring Road NH-244A Between Design Ch. 50600 to 51700 and design Ch. 53535 to 55700 on EPC mode under residual NHDP component of Bharatmala Pariyojna,NHAI,Jammu and Kashmir,83.87,279.1963733772924,179.19637337729242,75.45827633378944,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 618549 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
2,619202,Dwarka Expressway from Km -0.600 to Km 5.300 - Pkg-I Shivmurti Chowk-RuB near Dwarka Sector 21,NHAI,Delhi,98.8,163.762723402668,78.70178628879971,196.16301369863007,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 619202 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
3,701376,"Subernarekha Multipurpose Project, Jharkhand",Department of Water Resources-JH,Jharkhand,70.0,158.63011684004024,124.54297134543286,83.1546177793151,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 701376 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
4,701396,Lower Pedhi Project,Department of water resources-MH - II,Maharashtra,65.0,1197.816150330117,1097.816150330117,56.41868106078384,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 701396 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
5,701398,Nardave Medium Irrigation Project,Department of water resources-MH - II,Maharashtra,75.0,416.0597748983259,316.0597748983259,62.18685831622183,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 701398 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
6,701263,Rajasthan Refinery Project,MinistryofPetroleumNaturalGas,Rajasthan,92.1,162.2960884787498,62.73213151243945,73.26506024096369,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 701263 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
7,706950,Hospet-Hubli-Vasco da Gama Line Electrification Project,RVNL,"Multi-States (Goa, Karnataka)",99.7,156.25730365753736,61.34150895243714,67.6351274787536,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 706950 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
8,701386,Gosikhurd Project,Department of water resources-MH - II,Maharashtra,72.65,200.64642804041424,100.64642804041424,71.41164045998558,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 701386 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
9,701391,Aruna Medium Irrigation Project,Department of water resources-MH - II,Maharashtra,100.0,824.2860536944644,724.2860536944643,66.39049986191657,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 701391 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
10,619003,Solan - Kaithlighat Section of NH-22 Now NH-5 from Km. 106.139 to Km.129.05,NHAI,Himachal Pradesh,90.11,152.85571710481548,77.60563204572772,220.2916666666663,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 619003 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
